0,1,2,3
yanko design,srishti mitra,the grid chair stores your books and prevents your coffee from accidentally spilling over,2023-08-27T22:30:14Z
npr,andrea hsu,4 things to know on labor day — from the hot labor summer to the hollywood strikes,2023-09-04T09:00:24Z
npr,scott horsley,"yes, people often forget to cancel their monthly subscriptions — and the costs add up",2023-08-30T09:00:47Z
food52com,katie macdonald,the cold brew negroni is made for summer,2023-08-16T14:00:00Z
gigazinenet,@gigazine,aiを使うとコーヒーショップの客が何分居座っているかが一発でわかるというムービー,2023-08-21T08:00:00Z
business insider,jennifer streaks,a millennial private equity founder explains how the 'girl math' taking over social media can help more than it hurts,2023-08-29T19:40:03Z
business insider,alyshia hull,"i left the us and moved to northern ireland and i'm the healthiest i've ever been i lost weight, my grocery bills were cut in half, and the people seem happier here",2023-09-05T13:59:54Z
business insider,grace dean,zara's billionaire founder – one of the world's richest people – has just bought a $232 million luxury chicago apartment tower,2023-08-23T12:03:12Z
the new yorker,sue halpern,fani walliss indictment of donald trump and a voting-system breach,2023-08-19T18:07:42Z
bbc news,https://wwwfacebookcom/bbcnews,air canada kicks off passengers who refused vomit-covered seats,2023-09-06T08:45:38Z
small business trends,small business editor,disability employment gap narrows as coffee chain offers unique model,2023-08-29T12:30:33Z
time,koh ewe,hanoi wants tourists to stop visiting one of the citys most popular tourist attractions,2023-08-21T10:30:00Z
bgr,joshua hawkins,scientists discovered how to make concrete 30% stronger with used coffee grounds,2023-09-02T13:01:00Z
abc news,meredith deliso,starbucks ordered to pay extra $27m to woman who said she was fired for being white,2023-08-17T00:08:05Z
buzzfeed,shelby heinrich,"people are sharing their worst-ever roommate experiences, and they'll make you thank the heavens you live alone",2023-08-13T17:46:02Z
cheezburgercom,"remymill, remymill",'she says that i should just be a silent owner': coffee shop manager put in awkward customer disputes by company's owner,2023-09-03T15:00:00Z
beangroundcom,https://wwwfacebookcom/beangroundcoffee,what is a pid controller in an espresso machine?,2023-08-20T13:13:13Z
boing boing,rob beschizza,restaurants near target's minneapolis hq demand it bring workers back to the office,2023-08-28T14:07:29Z
theregistercom,paul kunert,coffee meets bagel outage caused by cybercriminals deleting data and files,2023-09-06T16:01:07Z
damiengcom,,zx origins 8x8 bitmap fonts,2023-09-06T03:18:35Z
yahoo entertainment,cnn,‘what were they thinking?: ex-us attorney reacts to new revelations in voting system breach,2023-08-13T22:15:42Z
theonioncom,cclrk,coffee shop onlookers speculate about unimaginable riches awaiting 43-year-old reading ‘7 habits of highly effective people,2023-09-06T12:29:00Z
ars technica,chuong nguyen,"dealmaster: labor day sales, star wars merchandise, apple gear, and more",2023-08-22T19:48:22Z
lenta,дмитрий воронин,в россии переименуют популярную сеть кофеен,2023-08-24T10:43:36Z
crackedcom,keegan kelly,crowdsourced ‘frasier reboot looks way cooler than real one,2023-08-30T22:30:00Z
thefirstmesscom,laura wright,vegan coffee cake muffins,2023-08-25T06:59:00Z
bbc news,https://wwwfacebookcom/bbcnews,"starfield creator on 'choice anxiety', long games and exclusive titles",2023-09-06T00:27:34Z
politico,associated press,4 astronauts return to earth in spacex capsule to wrap up six-month station mission,2023-09-04T13:03:20Z
business insider,maiya focht,"a tick bite gave me alpha-gal syndrome now, i'm allergic to meat and its byproducts and only eat 1 meal a day",2023-08-19T09:54:01Z
business insider,juliana kaplan,remote workers are falling behind in one major way: they're forgetting how to hang out with people,2023-08-20T10:20:01Z
yanko design,srishti mitra,top 10 kitchen appliances designed to help you cook up a delicious storm,2023-08-22T11:40:40Z
uncratecom,,hmm project mugr,2023-09-04T17:37:14Z
hackaday,robin kearey,wooden cnc sculpture displays conways game of life,2023-08-24T11:00:29Z
physorg,david bradley,rapid growth in coffee shops and competition presents a challenge for small independent coffee shops in indonesia,2023-08-16T20:27:03Z
abc news,peter charalambous,1st defendant in trump election interference case surrenders in georgia,2023-08-22T13:25:51Z
abc news,olivia rubin,judge denies mark meadows' bid to remove his georgia election case to federal court,2023-09-08T22:06:02Z
acouplecookscom,sonja overhiser,coffee cake muffins,2023-09-07T13:30:00Z
abc news,olivia rubin,trump may try to have his georgia election interference case moved into federal court,2023-09-07T18:23:05Z
slashdotorg,msmash,"visa, mastercard prepare to raise credit-card fees",2023-08-30T14:47:00Z
fast company,sam lubell,why this ikea-backed design studio just opened its office to all of copenhagen,2023-08-22T07:00:00Z
wwwguse,,paper cups are just as toxic as plastic cups,2023-08-25T09:09:07Z
huffpost,sara boboltz,"mark meadows, 5 others plead not guilty in georgia election interference case",2023-09-05T18:12:44Z
business insider,grace dean,"tourists call a restaurant in greece 'cheaters and thieves' after accusing it of charging them $776 for a cocktail, 3 glasses of oj, and some squid and shrimp",2023-08-22T10:56:12Z
/film,staff@slashfilmcom (mike shutt),a game of thrones star fessed up to bringing that infamous starbucks cup to set,2023-09-02T05:00:11Z
business insider,taylor berman,clarence thomas' lawyer says a billionaire bought his mom's house because it was in a blighted neighborhood full of junkies and they wanted her to keep living there,2023-08-31T21:03:16Z
business insider,grace dean,"you can't get bananas at starbucks anymore, and no one seemed to notice for over a year",2023-09-06T14:52:31Z
